date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:29	584/584	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:49%20GMT	https://kidsdiscoveryworld.com/images/headerIcon_1.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/headerIcon_1.png	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:30	487/487	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:51%20GMT	https://kidsdiscoveryworld.com/images/headerIcon_2.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/headerIcon_2.png	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:30	1535/1535	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:52%20GMT	https://kidsdiscoveryworld.com/images/icon_mail.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/icon_mail.png	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:30	187/187	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:56%20GMT	https://kidsdiscoveryworld.com/images/orangeNavBg.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/orangeNavBg.png	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:30	72630/72630	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Jan%202019%2009:56:35%20GMT	https://kidsdiscoveryworld.com/images/bnr_top.jpg	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/bnr_top.jpg	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:31	53258/53258	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:32%20GMT	https://kidsdiscoveryworld.com/images/bannerBottom.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/bannerBottom.png	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:31	198917/198917	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Jan%202019%2009:56:38%20GMT	https://kidsdiscoveryworld.com/images/bnr_top_2.jpg	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/bnr_top_2.jpg	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:31	202/202	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:37%20GMT	https://kidsdiscoveryworld.com/images/boxWidgetBg_1.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/boxWidgetBg_1.png	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:31	106970/106970	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Jan%202019%2009:56:39%20GMT	https://kidsdiscoveryworld.com/images/boxWidgetBg_2.jpg	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/boxWidgetBg_2.jpg	(from https://kidsdiscoveryworld.com/main-style.css)
15:42:31	99202/99202	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Jan%202019%2009:56:41%20GMT	https://kidsdiscoveryworld.com/images/boxWidgetBg_3.jpg	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/boxWidgetBg_3.jpg	(from https://kidsdiscoveryworld.com/main-style.css)
